id,label
230519651,2
8856425,2
279132240,2
245425053,0
230590626,2
87745960,0
246049031,2
310414798,2
63381634,2
310505922,2
27766815,2
310433917,2
156760805,2
202485124,2
310112533,2
86827713,2
232008172,0
309969223,2
230336686,0
245188214,0
75604435,2
313119257,2
244800339,2
232444499,0
87657771,0
179510215,0
203608650,2
232359384,2
93213189,2
13932977,2
245420040,2
232068006,2
230437638,0
55647469,0
58932897,2
6899178,2
1804639,2
71043538,0
298277975,0
6881587,2
86944193,2
87771869,2
230411682,2
120593126,2
246107159,0
246051580,2
245775704,2
312186238,2
279051977,2
232440557,2
310420397,2
244294946,2
310505909,2
91787015,2
245424516,2
16926633,2
245439822,2
232404319,2
280140774,2
49186045,2
35435116,2
310075647,2
232422622,2
244725705,2
279028955,2
245280416,2
87125434,2
230531648,0
964011,2
313113299,2
87484915,0
232068055,2
279056110,0
230452144,0
230436744,0
232409485,2
310405166,2
232689778,2
232339015,2
5211756,2
2822892,2
310108632,2
118682094,2
230530230,2
86825275,2
230516005,2
71017657,0
230431568,0
12078077,2
88606642,2
14379472,0
76865993,2
230456734,0
74129181,2
75240692,2
43175282,0
35025113,0
87823712,2
245730521,2
78150943,2
232099780,2
183138675,2
245221723,0
34839189,2
3461250,2
4996223,2
77849871,0
310443752,2
279477178,2
5678409,2
231178835,0
42389442,2
86741307,2
230537119,2
245334897,2
309937918,2
86610418,0
1393459,2
232431845,0
232007305,2
515761,2
310161366,0
195224543,2
232443223,0
246045484,2
246125521,2
245406515,2
244298626,2
310163501,2
15448294,2
286181822,0
245479567,2
310522413,0
247591804,2
310529095,2
245261541,2
244751031,2
245765802,2
250228446,2
309960441,0
250209717,2
230673838,2
245214132,2
244374702,2
245498442,2
88105638,2
133901052,2
245288924,2
245780091,2
246116941,2
245594855,2
86788714,0
230325139,2
296616470,2
86758942,2
82950160,2
19734088,2
232409481,2
245811301,2
21393330,2
309948270,0
231996109,0
245756101,2
230713915,2
219848062,2
246294463,2
87752152,0
88979033,2
244351620,0
246045089,2
244666821,0
230464759,0
200675661,2
245472443,2
230471951,2
309940401,2
309946858,0
232549504,2
312354958,2
230526938,0
230559761,2
86837507,0
76866739,2
246308155,2
199832162,2
6173643,2
245235505,0
245425079,0
246412332,2
86887514,2
310150217,2
245243919,2
244792204,2
309942927,2
244715498,0
66428493,2
310467000,0
87739542,2
22837926,0
230594171,2
310153656,2
310467546,0
78640503,0
86738292,0
16136019,2
12116190,2
310723095,0
245788278,2
309959890,2
232403360,2
312827670,2
246207946,0
183759497,2
245502784,2
310145191,2
212706577,0
245428230,2
312158789,2
86747403,2
245240977,2
56812775,2
310469184,0
230770485,0
234469371,2
230465374,0
245747485,2
244715786,2
87729775,2
86826701,2
86782712,0
232436042,0
245480712,2
311041425,2
205168509,2
10367722,2
312191075,0
87759524,2
244302462,2
230427470,2
310166977,2
87719433,0
214659180,2
279510438,2
232658962,2
15192868,0
245190222,0
93863210,2
3876462,0
309927414,2
104618438,2
234431628,2
6789987,2
244360202,2
268161710,0
124589798,2
310489580,0
309995476,2
66236943,2
36412427,2
54981956,2
279030978,2
246033062,0
2936247,2
86629096,2
244680538,2
9155436,2
245738719,2
245430580,0
86720095,2
312203066,0
245791487,2
230440542,2
230436773,2
49760997,0
245454840,2
75601042,2
310505644,0
118097224,0
80044770,2
67323684,2
245228779,0
312814192,2
87646790,2
86816655,2
5528949,2
245213411,2
280280061,2
39485935,2
230330948,2
76774066,2
88370132,0
230547921,2
246043043,2
313113561,0
27375520,2
292021373,2
191873842,2
245196000,2
86912548,0
246161955,0
19775820,2
2928492,2
312356159,0
230457090,0
310454854,2
82974256,2
310443589,2
309936497,2
105850463,2
145414037,2
309959965,2
245152054,2
309986934,2
2815738,2
218594859,2
312811120,2
230330123,2
309955303,0
230530386,2
88387401,0
87656539,0
310472393,2
86671007,2
183191075,2
230452743,2
230990797,2
86780627,2
244696454,2
48933123,2
313113310,2
246056428,2
230588248,2
244301557,2
245795488,0
13175690,0
246174259,2
244688678,0
245205648,2
231136263,2
312931467,2
5686988,2
246389190,0
4947994,2
28847070,2
13239490,0
245240999,2
206786861,0
244324744,2
232067008,2
246407022,2
22772202,2
88060438,2
